"Наименование товара";"Цена товара";"Ссылка на товар";"Производитель"
"Ламизил Lamisil Дермгель для лечения грибка стопы, гель 1%, 15г.";"592";"https://zdravcity.ru/p_lamizil-dermgel-gel-1-15g-0009087.html";"Novartis Consumer Health"
"Крем Ламизил Lamisil для лечения грибка стопы, крем 1%, 15г";"587";"https://zdravcity.ru/p_lamizil-krem-1-15g-0008570.html";"Novartis Consumer Health"
"Офтан Катахром капли глазные 10мл";"423";"https://zdravcity.ru/p_oftan-katahrom-kapli-gl-10ml-n1-0004349.html";"Santen OY"
"Отинум капли ушн. 20% 10мл";"247";"https://zdravcity.ru/p_otinum-kapli-ushn-20-10ml-0004654.html";"ICN Polfa Rzeszow S.A."
"Стугерон таблетки 25мг 50 шт.";"189";"https://zdravcity.ru/p_stugeron-tab-25mg-n50-0008153.html";"ОАО Гедеон Рихтер"
"Кавинтон таблетки 5мг 50 шт.";"106";"https://zdravcity.ru/p_kavinton-tab-5mg-n50-0030770.html";"Гедеон Рихтер-РУС ЗАО"
"Кавинтон Форте таблетки 10мг 90 шт.";"342";"https://zdravcity.ru/p_kavinton-forte-tab-10mg-n90-0004053.html";"Гедеон Рихтер-РУС ЗАО"
"Кавинтон Форте таблетки 10мг 30 шт.";"164";"https://zdravcity.ru/p_kavinton-forte-tab-10mg-n30-0087649.html";"Гедеон Рихтер-РУС ЗАО"
"Кавинтон Комфорте таб. дисперг. 10мг №30";"203";"https://zdravcity.ru/p_kavinton-komforte-tab-disperg-10mg-n30-0016936.html";"ОАО Гедеон Рихтер"
"Кавинтон комфорте таб. дисперг. 10мг n90";"428";"https://zdravcity.ru/p_kavinton-komforte-tab-disperg-10mg-n90-0016937.html";"ОАО Гедеон Рихтер"
"Кавинтон конц. для приг раствора для инф. 5мг/мл 10мл 5 шт.";"0";"https://zdravcity.ru/p_kavinton-konc-d-inf-5mg-ml-10ml-n5-0005779.html";"ОАО Гедеон Рихтер"
"Кавинтон конц. для приг раствора для инф. 5мг/мл 5мл 10 шт.";"310";"https://zdravcity.ru/p_kavinton-konc-d-inf-5mg-ml-5ml-n10-0010724.html";"ОАО Гедеон Рихтер"
"Кавинтон конц. для приг раствора для инф. 5мг/мл 2мл 10 шт.";"225";"https://zdravcity.ru/p_kavinton-konc-d-inf-5mg-ml-2ml-n10-0009133.html";"ОАО Гедеон Рихтер"
"Полижинакс капсулы вагинал. 12 шт.";"675";"https://zdravcity.ru/p_polizhinaks-kaps-vag-n12-0014609.html";"Свисс Капс АГ./Иннотера Шузи"
"Полижинакс капсулы вагинал. 6 шт.";"426";"https://zdravcity.ru/p_polizhinaks-kaps-vag-n6-0014627.html";"Каталент Франс Бейнхейм С.А./Иннотера Шузи"
"Полижинакс Вирго капсулы для интравагинал. введения эмульсия 6 шт.";"442";"https://zdravcity.ru/p_polizhinaks-virgo-kaps-d-ginekol-instil-d-dev-n6-0014561.html";"Каталент Франс Бейнхейм С.А./Иннотера Шузи"
"Финалгон мазь 20г";"378";"https://zdravcity.ru/p_finalgon-maz-20g-n1-0006874.html";"Глобофар фармацойтише Продуктьонс"
"Финалгон крем для наруж. прим. туба  35г";"415";"https://zdravcity.ru/p_finalgon-krem-d-nar-prim-tuba-35g-0092629.html";"С.П.М. КонтрактФарма ГмбХ и Ко. КГ, Германия"
"Триампур композитум таблетки 50 шт.";"347";"https://zdravcity.ru/p_triampur-kompozitum-tab-n50-0008557.html";"AWD/Pliva"
"Солкосерил гель 10% 20г";"2647";"https://zdravcity.ru/p_solkoseril-gel-10-20g-n1-0015749.html";"ЛЕГАСИ ФАРМАСЬЮТИКАЛС"
"Солкосерил Дент паста адгезивн. 5 г";"2085";"https://zdravcity.ru/p_solkoseril-dent-pasta-stomat-5g-0007601.html";"ЛЕГАСИ ФАРМАСЬЮТИКАЛС"
"Солкосерил раствор для ин. 42,5мг/мл 5мл 5 шт.";"0";"https://zdravcity.ru/p_solkoseril-r-r-d-in-42-5mg-ml-5ml-n5-0015748.html";"ЛЕГАСИ ФАРМАСЬЮТИКАЛС"
"Солкосерил раствор для ин. 42,5мг/мл 2мл 25 шт.";"0";"https://zdravcity.ru/p_solkoseril-r-r-d-in-42-5mg-ml-2ml-n25-0015747.html";"Валеант Фармасьютик./Легаси Фармасьютик."
"Солкосерил мазь д/нар. прим. 20г";"0";"https://zdravcity.ru/p_solkoseril-maz-20g-n1-0015746.html";"ЛЕГАСИ ФАРМАСЬЮТИКАЛС"
